Question,answer
I will take one Red Velvet and 2 Strawberry Traimisu.,Sir thanks for your order. You have ordered 1 Red Velvet and 2 Strawberry Traimisu.Please wait for sometime.
anything special,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
 suggest something,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
,
,
,
what special do u have,"  Pardon please, what you want ?"
hello,  Hello! How may I help you.
 what special do u have,"  Pardon please, what you want ?"
 what special do u have,"  Pardon please, what you want ?"
 what special do u have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
 do you have,"  Pardon please, what you want ?"
what special do u have,"Pardon please, what you want ?"
 hello,Hello! How may I help you.
what special do u have," Pardon please, what you want ?"
what special do u have," Pardon please, what you want ?"
hey,Hello! How may I help you.
 do u have pastery?,"Yes sir, we have Red Velvet,Strawberry Traimisu,Black Forest,Black Tie Mose,Honey Slice,Walnut Pastry,Mango cream Bluree,Maxres Special,Pineapple Shot cake,Strawberry Basque,Vanila Layer,Fruit & Cheese cerame,Mix Cupcake,Macrons,Waffel Ice-cream,Waffel Choco .What would u like to have?"
I will take one Mix Cupcake and 2 Strawberry Traimisu.,"
Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime."
I will take one Mix Cupcake and 2 Strawberry Traimisu.,"
Sir thanks for your order. You have ordered  Mix Cupcake and 2 Strawberry Traimisu.Please wait for sometime."
do you have h,"Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do you have," Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
what special do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
do u have puff pastery,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
I will take one  Blueberry Puff and 2  French Pastery,Sir thanks for your order. You have ordered Blueberry Puff and 2  French Pastery.Please wait for sometime.
i will take one Cinnimon Orange rolls and 5 Simple Cherry Puff,Sir thanks for your order. You have ordered 1  Cinnimon Orange rolls and 5 Simple Cherry Puff.please wait for sometime.
i will take one Nutella Puff  and 3 Egg Puff,Sir thanks for your order. You have ordered one  Nutella Puff  and 3 Egg Puff.Please wait for sometime.
,
,
"do You have Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff.",Yes we have your choice in our cafe.
"Do You have Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.
",Yes we have your choice in our cafe.
"do u have Tanuki,Tomato Cheese,Blueberry Puff.",Yes we have your choice in our cafe.
what special do u have,"  Prdon please, what you want ?"
hello,  Hello! How may I help you.
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
what do you have in puff pastery,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
 do you have Blueberry Puff,  Yes we have your choice in our cafe.
what do you have in puff pastery,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
 what do you have,"  Prdon please, what you want ?"
hey,Hello! How may I help you.
 do u have puff pastery,"Yes sir  we have Tanuki,Tomato Cheese,Blueberry Puff,Char Sui,Cinnimon Orange rolls,Easy Spinach,French Pastery,Beef Wellington,Keto Puff,Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simple Cherry Puff,Tart Social,Blaeter  tertei Puff.What would u like to have?"
 i will take one Keto Puff and 2 Blaeter  tertei Puff,Sir thanks for your order. You have ordered 1 Keto Puff and 2 Blaeter  tertei Puff.Please wait for sometime.
"i will take one Rough Puff,Simple Cherry Puff and 2 Tomato Cheese puff.","Sir thanks for your order. You have ordered 1 Rough Puff,Simple Cherry Puff and 2 Tomato Cheese puff.Please wait for sometime."
"do you have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
"Do You have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
"do u have Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores",Yes we have your choice in our cafe.
what special do u have,"  Prdon please, what you want ?"
hello,  Hello! How may I help you.
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 what special do u have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
 do you have,"  Prdon please, what you want ?"
what do you have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
 do you have espresso,  Yes we have your choice in our cafe.
 do you have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
 what do you have,"  Prdon please, what you want ?"
hey,Hello! How may I help you.
 do u have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
 i will take one Avocado Shake and 2 Salted Caramel Pretzel ,Sir thanks for your order. You have ordered 1 Avocado Shake   and 2 Salted Caramel Pretzel .Please wait for sometime.
i will take one Chocolate and Vanila Combo and 5 americano,Sir thanks for your order. You have ordered 1 Chocolate and Vanila Combo and 5 americano.Please wait for sometime.
anything special,
suggest something,
suggest something,
what do u think we should have,
what special do u have,"Pardon please, what you want ?"
 hello,Hello! How may I help you.
what special do u have," Pardon please, what you want ?"
what special do u have," Pardon please, what you want ?"
what special do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
what do u have,"Pardon please, what you want ?"
 what do u have,"Pardon please, what you want ?"
what do you have," Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have h,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
do you have,"Pardon please, what you want ?"
what do you have,"Pardon please, what you want ?"
what do you have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
do you have Chocolate and Vanila Combo,Yes we have your choice in our cafe.
do you have milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
what do you have,"Pardon please, what you want ?"
what can i get,"Pardon please, what you want?"
what you have,"Pardon please, what you want ?"
what u have,"Pardon please, what you want ?  Do you like to have cappccino."
what u have,"Pardon, may i suggest you a hazelnut cappccino."
what u have,"Pardon, may i suggest you a cafe mocha."
what u have,"Pardon please, what you want? Do you like to have cappccino."
what u have,Would you like indian filter coffee.
what u have,"Pardon, may i suggest you a cappccino."
what u have,"Sorry , would you likeamericano."
excuse me do u have espresso,Yes we have your choice in our cafe.
hello,What you would like to have.
can i get have a milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
get me a Banana Cream treat,Sure! a Banana Cream treat is on its way. Please wait for sometime.
i would like to Banana Cream treat,Sure! a Banana Cream treat  is on its way. Please wait for sometime.
i would like to Smores,Sure! a Smores is on its way. Please wait for sometime.
need a milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
need a Cotton candy shake,Sure! a Cotton candy shake is on its way. Please wait for sometime.
want a Salted Caramel Pretze,Sure! a Salted Caramel Pretze is on its way. Please wait for sometime.
have you Mix Fruit Smothie,Sure! a Mix Fruit Smothie is on its way. Please wait for sometime.
have you milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
can i get extra sugar,"Sure sir, I will just get you sugar."
I will have you espresso,Sure! a espresso is on its way. Please wait for sometime.
do you have espresso,Yes we have your choice in our cafe.
can u serve me,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
do u have,"Sorry , would you likecappccino."
,WARNING:werkzeug: * Debugger is active!
do u have,"Pardon please, what you want? Do you like to have americano."
can i get extra sugar,"Sure sir, I will just get you sugar."
what can i get,Would you like americano.
what you have,"Pardon please, what you want? Do you like to have indian filter coffee."
what you have,"Pardon, may i suggest you a americano."
what you have,"Sorry , would you like cappccino."
what you have,"Pardon, may i suggest you a caffe latte."
what you have,Would you like espresso.
what you have,"Sorry , would you like hazelnut cappccino."
what you have,"Pardon, may i suggest you a caffe latte."
what you have,Hope you like to have irish cappccino.
what you have,"Sorry , would you like irish cappccino."
do u have espresso,Yes we have your choice in our cafe.
do u have water,yes would u like to have it
hey,Hello! How may I help you.
what is in the menu,"we have pastery , puff-pastery,coffee and milkshakes.What would you like to have?"
do u have something,Hope you like to have americano.
can i have menu,"Yes Sir, we have coffee , pastery ,puff-pastery and milshake.What would you like to have?"
i would like to have one espresso and 3 Cheery Vanila,Sir thanks for your order. You have ordered 1 espresso and 3 Cheery Vanila.Please wait for sometime.
do u have dirty coffee,"No sir, but why."
do u have good milkshake,"Yes Sir Chocolate and Vanila Combo,Avocado Shake,Apple pomegranate juice,Drumstick Milkshake,Pumpkin Shake,Malted Chocolate,Oreo Shake,Pista Shake,Mix Fruit Smothie,Tiramisu Milkshake,Banana Cream treat,Cotton candy shake,Cranberry Orange,Mint White Chocolate,Cheery Vanila,Peanut Vanila,Salted Caramel Pretzel and Smores.What would you like to have?"
do u have bad milkshake,"No sir, but why."
what should i take,"Pardon, may i suggest you a Mint White Chocolate"
no can u suggest something else,Hope you like to have Oreo Shake.
ok i will have two caffe latte,Sure! 2  Oreo Shake are on way. Please wait for sometime.
what should i take,Hope you like to have cappccino.
ok i will take one,"Pardon, may i suggest you a irish cappccino."
suggest me something,I may suggest you Wainans Choco Coffee
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Nutella Puff
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Cappuchino
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is im menu,pardon have coffee ought you vanilla_ice_cream kinda_gal honey Bikini_
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Simple Coffee
suggest me something,I may suggest you Cappuchino
suggest me something,I may suggest you Au Laite Cappucchino
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Mix  Cupcake
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Avocado Shake,"Its our one of best, you can enjoy it at just RM 12.9"
suggest me something,I may suggest you Mix Fruit Smothie
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Black Coffee,"Its our one of best, you can enjoy it at just RM 10.5"
what is price of Black Coffee,"Its our one of best, you can enjoy it at just RM 10.5"
what is price of Espresso,"Its our one of best, you can enjoy it at just RM 10.5"
what is price of Espresso,"Its our one of best, you can enjoy it at just RM 10.5"
suggest me something,I may suggest you Nutella Puff
suggest me something,I may suggest you Peanut Vanila
suggest me something,I may suggest you Waffel Ice-cream
suggest me something,I may suggest you Cappuchino
hello,hello How may I help you
hello,hello How may I help you
what is price of Au Laite Cappucchino,"Sir Au Laite is of RM 11, Au Laite Cappucchino is of RM 11"
what is price of Easy Spinach,"Its our one of best, you can enjoy it at just RM 11.9"
suggest me something,I may suggest you Irish Coffee 
what is price of Blueberry Puff,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Blueberry Puff,"Its our one of best, you can enjoy it at just RM 11.9"
can i have 5 Waffel Ice-cream,Sir thanks for your order. You have ordered 
can i have 5 Waffel Ice-cream,Sir thanks for your order. You have ordered 
recomend me something,yes sir loooooove indian filter you reallllly Cindy_Crawford l'_Affair
what is price of Fruit & Cheese cerame,"Its our one of best, you can enjoy it at just RM 11"
what is price of Fruit & Cheese cerame,"Its our one of best, you can enjoy it at just RM 11"
what is price of Honey Slice,"Its our one of best, you can enjoy it at just RM 11"
what is price of Simple Coffee,"Its our one of best, you can enjoy it at just RM 9.9"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Au Laite Cappucchino,"Sir Au Laite is of RM 11, Au Laite Cappucchino is of RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Cappuchino
suggest me something,I may suggest you Frappe
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest something,I may suggest you Chans Espresso
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Peanut Vanila
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest something,I may suggest you Au Laite
suggest me something,I may suggest you Rough Puff
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Fruit & Cheese cerame
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Honey Slice
suggest me something,I may suggest you Au Laite
suggest me something,I may suggest you Mango cream Bluree
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Au Laite
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Au Laite
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Walnut Pastry
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Egg Puff
suggest something,I may suggest you Pista Shake
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Cappuchino
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
hello,hello how may i help you Ovidiu_Rom l'_Affaire l'_Affaire l'_Affaire O
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Avocado Shake,"Its our one of best, you can enjoy it at just RM 12.9"
hello,hello how may i help you Ovidiu_Rom l'_Affaire l'_Affaire l'_Affaire O
 do you have milkshake,yes please what combo avocado shake apple pomegranate juice drumstick 
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of French Pastery,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of  Blueberry Puff,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Cinnimon Orange rolls,"Its our one of best, you can enjoy it at just RM 11.9"
suggest me something,I may suggest you Keto Puff
what is price of Simple Cherry Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Char Sui,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Easy Spinach,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Beef Wellington,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Keto Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Nutella Puff,"Its our one of best, you can enjoy it at just RM 11"
"what is price of Nutella Puff,Asparagus Puff,Egg Puff,Rough Puff,Simpl","Sir Nutella Puff is of RM 11, Asparagus Puff is of RM 11, Egg Puff is of RM 11, Rough Puff is "
what is price of Honey Slice,"Its our one of best, you can enjoy it at just RM 11"
what is price of Asparagus Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Rough Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Simple Cherry Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Tart Social,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Blaeter  tertei Puff,"Its our one of best, you can enjoy it at just RM 11.9"
suggest me something,I may suggest you Chans Espresso
suggest me something,I may suggest you Macrons
suggest me something,I may suggest you Latte Macchiato
what is price of Macrons,"Its our one of best, you can enjoy it at just RM 11"
what is price of Latte Macchiato,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of  Tanuki,"Its our one of best, you can enjoy it at just RM 9.9"
what is price of Tomato Cheese,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Chocolate and Vanila Combo,"Its our one of best, you can enjoy it at just RM 11.50"
what is price of Drumstick Milkshake,"Its our one of best, you can enjoy it at just RM 11"
what is price of Pumpkin Shake,"Its our one of best, you can enjoy it at just RM 12.9"
what is price of Malted Chocolate,"Its our one of best, you can enjoy it at just RM 12.9"
what is price of Oreo Shake,"Its our one of best, you can enjoy it at just RM 11"
what is price of Pista Shake,"Its our one of best, you can enjoy it at just RM 11"
what is price of Mix Fruit Smothie,"Its our one of best, you can enjoy it at just RM 12.9"
what is price of Tiramisu Milkshake,"Its our one of best, you can enjoy it at just RM 11.50"
what is price of Banana Cream treat,"Its our one of best, you can enjoy it at just RM 12.9"
"what price of Cotton candy shake,Cranberry Orange,Mint White Chocolate","Sir Cotton candy shake is of RM 12.9, Cranberry Orange is of RM 12.9, Mint White Chocolate is of RM"
what is price of Cotton candy shake,"Its our one of best, you can enjoy it at just RM 12.9"
can i have table for 2 on 2-4-20 at 11:00,Sir thanks for your order. You have ordered 
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
can i have menu,Sir thanks for your order. You have ordered 
suggest me something,I may suggest you Latte Macchiato
can i have 2 Americano,Sure! 2 Americano are on way. Please wait for sometime.
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Nutella Puff
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
what is price of Honey Slice,"Its our one of best, you can enjoy it at just RM 11"
what is price of Egg Puff,"Its our one of best, you can enjoy it at just RM 11"
suggest me something,I may suggest you Vanila Layer
book me a table,U can call our customer service for a reservation ! 03-630 1188
what is price of Americano,"Its our one of best, you can enjoy it at just RM 11"
book me a table,U can call our customer service for a reservation ! 03-630 1188
book me a table,U can call our customer service for a reservation ! 03-630 1188
suggest me something,I may suggest you Nutella Puff
what is price of Cheery Vanila,"Its our one of best, you can enjoy it at just RM 11.50"
what is price of Peanut Vanila,"Its our one of best, you can enjoy it at just RM 11.50"
what is price of Red Velvet,"Its our one of best, you can enjoy it at just RM 12.9"
what is price of Strawberry Traimisu,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Black Forest,"Its our one of best, you can enjoy it at just RM 11"
what is price of Black Tie Mose,"Its our one of best, you can enjoy it at just RM 11"
what is price of Honey Slice,"Its our one of best, you can enjoy it at just RM 11"
what is price of Walnut Pastry,"Its our one of best, you can enjoy it at just RM 12.9"
what is price of Mango cream Bluree,"Its our one of best, you can enjoy it at just RM 11"
what is price of Maxres Special,"Its our one of best, you can enjoy it at just RM 11"
what is price of Strawberry Basque,"Its our one of best, you can enjoy it at just RM 11"
what is price of Vanila Layer,"Its our one of best, you can enjoy it at just RM 11"
what is price of Fruit & Cheese cerame,"Its our one of best, you can enjoy it at just RM 11"
what is price of Macrons,"Its our one of best, you can enjoy it at just RM 11"
what is price of Waffel Ice-cream,"Its our one of best, you can enjoy it at just RM 12.9"
what is price of Waffel Choco,"Its our one of best, you can enjoy it at just RM 12.9"
what is price of  Simple Coffee,"Its our one of best, you can enjoy it at just RM 9.9"
what is price of Cappuchino,"Its our one of best, you can enjoy it at just RM 11"
what is price of Au Laite,"Its our one of best, you can enjoy it at just RM 11"
what is price of Au Laite Cappucchino,"Sir Au Laite is of RM 11, Au Laite Cappucchino is of RM 11"
what is price of Chans Espresso ,"Sir Chans Espresso is of RM 10.5, Espresso is of RM 10.5"
what is price of Chans Espresso ,"Sir Chans Espresso is of RM 10.5, Espresso is of RM 10.5"
what is price of Con Panna,"Its our one of best, you can enjoy it at just RM 10.5"
what is price of Black Coffee,"Its our one of best, you can enjoy it at just RM 10.5"
what is price of Espresso,"Its our one of best, you can enjoy it at just RM 10.5"
what is price of Frappe,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of French Coffee ,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Iced Coffee Late,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Latte Macchiato,"Its our one of best, you can enjoy it at just RM 11.9"
what is price of Wainans Choco Coffee,"Its our one of best, you can enjoy it at just RM 11"
book me a table,U can call our customer service for a reservation ! 03-630 1188
How much is Tom Yum Soup?,Tom Yum Soup is RM20. It's a hot-and-sour Thai soup with seafood and a spicy-sour profile.
Price of tom yam soup?,Tom Yum Soup costs RM20. Spicy and sour; great if you like bold flavors.
Berapa harga Tom Yum Soup?,Tom Yum Soup berharga RM20.
Is Tom Yum Soup spicy?,Yes—Tom Yum Soup is spicy and sour (pedas & masam).
What’s inside the Tom Yum Soup?,It has prawns/seafood, herbs, chilies, and lime; spicy-sour.
Do you have a milder version of Tom Yum Soup?,We can reduce the chili for a milder Tom Yum, but it will still be slightly spicy and sour.
How much is Honey Butter Fried Chicken?,Honey Butter Fried Chicken is RM22. Crispy fried chicken glazed with honey butter; sweet profile.
Price of honey butter chicken?,It’s RM22 per serving for Honey Butter Fried Chicken.
Berapa harga Honey Butter Fried Chicken?,Honey Butter Fried Chicken berharga RM22.
Is Honey Butter Fried Chicken spicy?,No—it's sweet, not spicy.
What does Honey Butter Fried Chicken taste like?,Crispy, buttery, and sweet (manis), with a light honey glaze.
How much is Spicy Sambal Prawns?,Spicy Sambal Prawns are RM28. Stir-fried prawns with sambal and chili—spicy.
Price of sambal prawns?,Spicy Sambal Prawns cost RM28.
Berapa harga Sambal Udang?,Sambal Udang (Spicy Sambal Prawns) berharga RM28.
Are Spicy Sambal Prawns very spicy?,Yes—it's one of our spicier dishes (pedas).
Do Spicy Sambal Prawns contain seafood?,Yes—it's a seafood dish with prawns.
How much is Mango Sticky Rice?,Mango Sticky Rice is RM12. A sweet dessert with ripe mango and coconut milk (vegan).
Price of mango sticky rice?,Mango Sticky Rice costs RM12.
Berapa harga Mango Sticky Rice?,Mango Sticky Rice berharga RM12.
Is Mango Sticky Rice vegan?,Yes—it's vegan and sweet (manis).
What does Mango Sticky Rice taste like?,Sweet and creamy from coconut milk, with fragrant sticky rice and fresh mango.
How much is Black Pepper Beef?,Black Pepper Beef is RM26. Stir-fried beef with peppery sauce; savory and mild.
Price of black pepper beef?,Black Pepper Beef costs RM26.
Berapa harga Black Pepper Beef?,Black Pepper Beef berharga RM26.
Is Black Pepper Beef spicy?,It’s more peppery than chili-spicy; generally mild.
